"Class? (MATH 143, PSY 202, etc)",Book Title,Book Author,Edition,Link,ISBN
,,,,,
Textbook Submission Links,,,,,
Submit via link to google drive,https://forms.gle/dTiQ1c1AmuhLCKK16,,,,
ENGL 145,Everything's an Argument with Readings,Andrea A. Lunsford; John J. Ruszkiewicz,9,https://drive.google.com/open?id=1rT59f0jGttUyoA0JW7rVbjp7UT00YtHj,9781319244477
AEPS 123,California Master Gardener Handbook,Dennis R. Pittenger,2,https://drive.google.com/open?id=1ikZ99A34ycJKzEeajQdAwnfnAaCZktXY,9781601078575
AEPS 124,Plant Propagation: Principles and Practices,"Hartmann, H.T., D.E. Kester, F.T. Davies Jr., R.L. Geneve, and S.E. Wilson",9th,https://drive.google.com/file/d/1h2nq6Hy_1Y3mWFoYHkxRlwk45twW5yoM/view,9780134480893
AERO 299,Fluid Mechanics - Fundamentals and Applications,Cengel & Cimbala,1,https://imtk.ui.ac.id/wp-content/uploads/2014/02/Fluid-Mechanics-Cengel.pdf,
AERO 299,Fluid Mechanics - Fundamentals and Applications,Cengel & Cimbala,3,https://engineeringbookslibrary.files.wordpress.com/2019/03/fluid-mechanics-fundamentals-and-applications-3rd-edition-cengel-and-cimbala-2014.pdf,
AERO 299,Fundamentals of Engineering Thermodynamics,"Moran, Shapiro, Boettner, Bailey",7,http://library.lol/main/3FECCB84B9D8B0DC1F547145C6491D49,9781118050286
AERO 300,Numerical Analysis,Timothy Sauer,2,https://drive.google.com/open?id=1Tl7G_nCoyFYTwKb3oskUiP5FsClGbThV,
AERO 300300,Numerical Analysis,Timothy Sauer,3,http://libgen.rs/book/index.php?md5=F3E0057A9893BE05137DE4D43E33E189,9780134696454
AERO 302,Fundamentals of Aerodynamics,John D. Anderson,6,https://es.b-ok.cc/book/3423817/40ebca,9781259129919
AERO 320,Spacecraft Dynamics and Control: An Introduction,"Damaren, Christopher; De Ruiter, Anton H. J.; Forbes, James R",1,https://drive.google.com/open?id=1mJ93nwDj9gMKELsvbbDkw8Gkrl7I3FR4,9781118403327
AERO 331,Aircraft Structures for Engineering Students,T. H. G. Megson,4,https://drive.google.com/open?id=1K9jtoKIuEHcw-BbWwBDiifbUyiH-EaaL,9780750667395
AERO 351,Orbital Mechanics For Engineering Students,Howard D. Curtis,4,https://drive.google.com/open?id=17yeFy8sTUo6Fj8FHVrvu53GyFv_pRMyc,9780081021330
AERO302,Fluid Mechanics,Cengel,4,https://es.b-ok.cc/book/3492387/2a3dc5,
AGB 212,Introduction to Agricultural Economics,John Penson,6th,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjHxaT2qYXuAhWdJDQIHX1tB-YQFjADegQIBRAC&url=https%3A%2F%2Fwww.textbooks.com%2FIntroduction-to-Agricultural-Economics-6th-Edition%2F9780133379488%2FPenson.php&usg=AOvVaw0NVKMTXqb4iOvs6O-4K01I,9780133379488
AGB 212,Introduction to Agricultural Economics,John B. Penson,7,https://drive.google.com/open?id=1RNf_Vxcs7m81kV6NdZiCP5mo9duMtFqs,
AGB 212,Introduction to Agricultural Economics,John Penson,6th,http://library1.ga/_ads/688E77D2151C08BC95F47468C2C28FF0,9780133379488
AGB 301,Marketing: An Introduction,Kotler and Armstrong,14th,https://libgen.rocks/ads.php?md5=45362B997813C287447061D6179A5834,9780135192122
AGB 369,Managing Human Resources,"Gomez-Mejia, Balkin and Cardy",,https://drive.google.com/open?id=1F1FcjmH1H--du0DPoc5p2WH7VOGd6vBc,
AGC 314,The Devil in The White City,Erik Larson,,https://drive.google.com/open?id=1hOCNNDvyFQLlrEuATbJGRQNHOvg5gCXP,
AGC 404,The 21 Irrefutable Laws of Leadership,John C. Maxwell,,https://drive.google.com/open?id=1vYjHhPDQU1dLdG9z23kgMHNI24YWy_5B,
AMSL 100,Learning American Sign Language Levels I & II Beginning and Intermediate,Tom L. Humphries/Carol A. Padden/Robert Hills/Peggy Lott/Daniel W. Renner,2,https://drive.google.com/open?id=1-OFhsnLselSeka08OJFsGDc7OfmXkZy8,9780205275533
ANT 201,Mirror for Humanity,Conrad Phillip Kottak,7,https://drive.google.com/open?id=1kzewBpMV0xveabB20rtunhKZHLgbCY_f,
ANT 201,Mirror for Humanity A Concise Introduction to Cultural Anthropology,Conrad Phillip Kottak,11,https://dbcdfcg.r.bh.d.sendibt3.com/tr/cl/c9n9wTLNsxj9Ox8o21h54IwqUw89o-irFeH1XkM5d_UPtefrFojI_QlEnidtNb9A9FMNal0n12kXBHBJPcl-M-_jeQGjp8H7vPlM-3TLlqN8Suj2piQQNkFca65vddFdXKAggQPNskNharK-lf7NZLHKxv33d28UZd0dZLP1g_3ljLxM5KuZzN-MpPR0BGg6Up8kd4JEIY9QsOSJgXCIE9kbDE3zrCtATD50Wkv8r_lNllgbTn-Bf4tbY49iC-KXfimMWSOwM55dZNpS3wyMBGUlXsLi2NwpQmEwAGbWyU7h4TG1P07adi9uDGtCHey3r0ZmlJVhRFYHWLnQUBwpyfGfEDIkX9-bQOWZMnXR0DR1mDNJ8O7PrdDqaWDq11orecaFB0Iet3-EG_6t43oIOTJRF4ucrrUMZQCxMuvkYupJCIwRySx4AsyG2me3ACNXg9eRXQ,
ANT 201,Mirror for Humanity: A Concise Introduction to Cultural Anthropology,Conrad Kottak,11,http://library.lol/main/3BDE10E562EF5F47D0306AB48758ACA1,
Ant 201,Cultural Anthropology,"Carol R. Ember, Melvin R. Ember",,https://drive.google.com/open?id=1YqEN5C4_xcL6QA1P8FOQR4qg2abz1qQe,
ANT 201,Humanity: An Introduction to Cultural Anthropology,James Peoples/Garrick Bailey,11,https://drive.google.com/open?id=1i3kJLQdD0keAE5ymiurgFgRjvevIgSYC,9781337109697
ANT 201,Mirror for Humanity: A Concise Introduction to Cultural Anthropology,Conrad Kottak,11,https://drive.google.com/open?id=1LS7deTxainOP9fFdepsriuHTTd_TwnpN,
ANT 201,Essentials of Cultural Anthropology: A Toolkit for a Global Age,Kenneth J. Guest,2nd,https://drive.google.com/file/d/1bdhIsu-KhrLNiiMrioZ8rv-AS1gnCVWG/view,
ANT 201,Humanity: An Introduction to Cultural Anthropology,James Peoples,9th,http://library1.ga/_ads/4C3DCD1127BE176E7402FBF3D93E4B8D,
ANT 201,Mirror for Humanity,Conrad Phillip Kottak,7,https://drive.google.com/open?id=1kzewBpMV0xveabB20rtunhKZHLgbCY_f,
ANT 201 Dr lewis,Humanity An Introduction to Cultural Anthropology,#NAME?,11,https://drive.google.com/open?id=1Xc-AhdVC6Yu733cgnqVx3u8hUhJGlLvX,9781337109697
ANT 202,World Prehistory and the Anthropocene,"Joy McCorriston, Julie Field",,https://drive.google.com/open?id=1i2W85gkYwqXLBmlc4Hcq0hzTfWP-DAep,
ANT 250,How Humans Evovled,Robert Boyd,8th edition,https://drive.google.com/file/d/1X04_rV00KcQ3Pni_yKzh_7Xon0yaXK2i/view?usp=sharing,
